gene_symbol,Kif24
parameter_id,MGP_BMI_019_001
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:1918345
analysis_id,vz4p78864042p70
pvalue,0.5106634
parameter_name,T cells - % of CD45+
