analysis_id,um605m325250ewy
parameter_id,ESLIM_011_001_006
gene_symbol,Ints7
mouse_strain,C57BL
parameter_name,110dB startle magnitude
mouse_life_stage,E9.5
pvalue,0.1654794
gene_accession_id,MGI:1924315
