parameter_id,IMPC_ECG_005_001
pvalue,0.1062622
mouse_life_stage,Early adult
analysis_id,0hv0c7u039z630m
mouse_strain,C57BL
parameter_name,PQ
gene_accession_id,MGI:1332236
gene_symbol,Cds2
