analysis_id,j9c44643s6563fm
parameter_id,IMPC_IMM_052_001
pvalue,0.2103627
gene_accession_id,MGI:1913284
parameter_name,Eosinophils
gene_symbol,Psmd14
mouse_life_stage,Early adult
mouse_strain,C57BL
