analysis_id,34vuacf28a10tmj
gene_accession_id,MGI:2651854
parameter_name,Follicular B cells - % of CD45+
pvalue,0.9240008
gene_symbol,Atg4c
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,MGP_IMM_112_001
