analysis_id,87kpzu8x379f478
mouse_strain,C57BL
gene_symbol,Nanp
gene_accession_id,MGI:1914561
parameter_name,Head coat/hair presence
mouse_life_stage,Early adult
pvalue,0.4436439
parameter_id,MGP_CSD_015_001
