gene_symbol,Arpc2
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,IMPC_CSD_012_001
gene_accession_id,MGI:1923959
analysis_id,s605a9p744d12a9
parameter_name,Coat - hair distribution - head
pvalue,0.2375735
