parameter_name,Hemoglobin
gene_accession_id,MGI:1332236
mouse_strain,C57BL
analysis_id,4951u6579u2l749
mouse_life_stage,Early adult
gene_symbol,Cds2
pvalue,0.06567604
parameter_id,IMPC_HEM_003_001
