analysis_id,z2o01dbpdr1619l
pvalue,0.2559782
mouse_life_stage,Early adult
gene_symbol,Gja10
mouse_strain,C57BL
parameter_name,Bone Mineral Density (excluding skull)
parameter_id,IMPC_DXA_004_001
gene_accession_id,MGI:1339969
