analysis_id,ufwbzuwn4g4c934
parameter_id,IMPC_GEO_048_002
gene_symbol,Eprs1
pvalue,0.1533307
mouse_strain,C57BL
parameter_name,Anophthalmia
gene_accession_id,MGI:97838
mouse_life_stage,E9.5
