gene_symbol,Golm2
mouse_life_stage,Early adult
parameter_id,UCD_OWT_008_001
mouse_strain,C57BL
analysis_id,ts74gx0bw90acr9
pvalue,0.4141601
gene_accession_id,MGI:2443129
parameter_name,Liver weight
