analysis_id,q7m9qp187527vg4
mouse_life_stage,Early adult
pvalue,0.9869556
parameter_name,Glucose response AUC
parameter_id,ESLIM_004_001_701
gene_symbol,Tnni1
mouse_strain,C57BL
gene_accession_id,MGI:105073
