parameter_name,ST
pvalue,0.410691
parameter_id,IMPC_ECG_008_001
mouse_strain,C55BL
analysis_id,836wkm43v21gzaj
mouse_life_stage,Early adult
gene_accession_id,MGI:1922855
gene_symbol,Kdm5b
