analysis_id,49946d55tc58524
mouse_strain,C57BL
parameter_name,Body Length
mouse_life_stage,E15.5
parameter_id,M-G-P_005_001_006
gene_symbol,Fgb
pvalue,0.6745995
gene_accession_id,MGI:99501
