analysis_id,8yal780c292d1j1
gene_accession_id,MGI:87968
mouse_life_stage,E12.5
parameter_name,Dark side time spent
pvalue,0.7951999
mouse_strain,C57BL
parameter_id,JAX_LDT_004_001
gene_symbol,Ahcy
