gene_symbol,Bmi1
gene_accession_id,MGI:88174
analysis_id,53s0433z6788bh8
mouse_strain,C57BL
parameter_name,Total cholesterol
parameter_id,HMGULA_CBC_015_001
pvalue,0.5868301
mouse_life_stage,E15.5
