gene_symbol,Ubxn11
mouse_life_stage,Early adult
parameter_id,IMPC_EYE_004_001
parameter_name,Eyelid morphology
pvalue,0.4147104
gene_accession_id,MGI:1914836
mouse_strain,C57BL
analysis_id,06infvl31pwj25m
