analysis_id,m44j07on6m742z9
parameter_id,ESLIM_008_001_001
mouse_life_stage,Early adult
parameter_name,Body position
gene_accession_id,MGI:88071
mouse_strain,C57BL
gene_symbol,Arnt
pvalue,0.3965481
