gene_symbol,Bach2
parameter_id,IMPC_IMM_065_001
mouse_life_stage,Early adult
pvalue,0.7453586
gene_accession_id,MGI:894679
parameter_name,B2B Cells
analysis_id,3r0c2rm8801n2ra
mouse_strain,C57BL
