parameter_name,Time mobile light side
analysis_id,y90fsw8l44pc1oc
parameter_id,JAX_LDT_003_001
gene_symbol,Snap23
pvalue,0.6480884
mouse_strain,C57BL
mouse_life_stage,Late adult
gene_accession_id,MGI:109356
