analysis_id,124gj63128w0iwx
gene_symbol,Ntmt2
pvalue,0.9192905
mouse_strain,C57BL
gene_accession_id,MGI:2685053
parameter_name,Mean-corpuscular-haemoglobin
parameter_id,M-G-P_016_001_006
mouse_life_stage,Early adult
