analysis_id,4bd9z3vl435478i
gene_accession_id,MGI:1345282
mouse_strain,C54BL
parameter_id,MGP_IMM_020_001
pvalue,0.8703869
gene_symbol,Slc30a4
parameter_name,Effector gd T cells - % of gd T cells
mouse_life_stage,Middle aged adult
