parameter_name,Alkaline phosphatase
gene_symbol,Slc39a10
gene_accession_id,MGI:1914515
mouse_strain,C57BL
pvalue,0.8635074
analysis_id,44klbbt1735gmv1
parameter_id,HRWLLA_CBC_014_001
mouse_life_stage,Early adult
