mouse_life_stage,E12.5
parameter_name,Vibrissae - appearance
parameter_id,HMGULA_DYS_024_001
pvalue,0.5531742
gene_symbol,Mecom
analysis_id,jes6sy968br12i3
gene_accession_id,MGI:95457
mouse_strain,C57BL
