analysis_id,o811bt0d3v895f2
pvalue,0.8746975
gene_symbol,Bcs1l
parameter_id,IMPC_GPP_004_001
mouse_strain,C57BL
parameter_name,Placenta Size
gene_accession_id,MGI:1914071
mouse_life_stage,E12.5
