parameter_id,JAX_SLW_013_001
parameter_name,Breath rate during sleep mean
analysis_id,qhw93620um08z9i
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.1209588
gene_accession_id,MGI:2673000
gene_symbol,Trim46
