analysis_id,8w77484573fcppt
mouse_strain,C57BL
pvalue,0.1268954
parameter_name,Effector CD4+ T helper cells - % of CD45+
parameter_id,MGP_MLN_066_001
gene_accession_id,MGI:1924054
mouse_life_stage,Early adult
gene_symbol,Kdm4c
