parameter_name,Anophthalmia
analysis_id,80juz9ipsu843qw
gene_accession_id,MGI:1914583
pvalue,0.5594468
mouse_life_stage,Early adult
parameter_id,IMPC_GEO_048_002
gene_symbol,Stk35
mouse_strain,C57BL
