gene_symbol,Cldn19
gene_accession_id,MGI:3033992
mouse_life_stage,Early adult
pvalue,0.8158048
parameter_id,UCD_OWT_008_001
mouse_strain,C57BL
analysis_id,81i8h74w96vw21q
parameter_name,Liver weight
