analysis_id,m6ju60ufg830y8g
gene_symbol,Ola1
parameter_name,Effector CD4+ T helper cells - % of CD45+
pvalue,0.7108531
gene_accession_id,MGI:1914309
mouse_strain,C57BL
mouse_life_stage,E18.5
parameter_id,MGP_MLN_066_001
