parameter_name,Lean mass
parameter_id,JAXLA_DXA_003_001
mouse_life_stage,Early adult
analysis_id,747f0ui7797327t
pvalue,0.1648144
mouse_strain,129SV
gene_accession_id,MGI:104848
gene_symbol,Inpp1
