analysis_id,az423k68u32796x
parameter_name,Limb morphology
gene_symbol,Fgb
pvalue,0.7265015
mouse_strain,C57BL
mouse_life_stage,E12.5
gene_accession_id,MGI:99501
parameter_id,IMPC_GEP_084_001
