parameter_name,Neutrophils
mouse_strain,C57BL
pvalue,0.5405491
mouse_life_stage,Early adult
parameter_id,IMPC_IMM_050_001
gene_symbol,Trp53rkb
gene_accession_id,MGI:1914050
analysis_id,fx3hjcj5xrc519w
