gene_symbol,Morn5
parameter_id,IMPC_CSD_036_001
pvalue,0.7792171
mouse_strain,C57BL
gene_accession_id,MGI:1922745
mouse_life_stage,Early adult
analysis_id,7h8bek378lt5019
parameter_name,Startle response
