gene_symbol,Ncaph
mouse_life_stage,Early adult
analysis_id,4l7pxl55d52qr0j
parameter_id,MGP_IMM_081_001
pvalue,0.5075185
gene_accession_id,MGI:2444777
parameter_name,Effector CD8+ T cells - % of CD45+
mouse_strain,C57BL
