parameter_name,Triglycerides
gene_accession_id,MGI:1914256
analysis_id,6h5wz570enk3b4n
gene_symbol,Cisd2
pvalue,0.4235401
mouse_life_stage,Early adult
parameter_id,HMGULA_CBC_017_001
mouse_strain,C57BL
