parameter_name,Periphery distance travelled
analysis_id,q1pcc1o5r65lmh8
mouse_life_stage,Early adult
gene_accession_id,MGI:1915033
gene_symbol,Ahctf1
mouse_strain,C57BL
parameter_id,JAX_OFD_010_001
pvalue,0.1992361
