parameter_name,White blood cell-count
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:104848
pvalue,0.9331471
gene_symbol,Inpp1
analysis_id,1r6pie8t67r3j22
parameter_id,M-G-P_016_001_001
