parameter_id,JAXLA_OFD_007_001
gene_symbol,Dmap1
pvalue,0.5954944
mouse_life_stage,E12.5
gene_accession_id,MGI:1913483
parameter_name,Whole arena resting time
mouse_strain,C57BL
analysis_id,2h30008ajtjnnx9
