analysis_id,2o2f3365gb1x751
parameter_name,cDCs CD11b Type
pvalue,0.6765379
gene_symbol,Eprs1
parameter_id,IMPC_IMM_073_001
gene_accession_id,MGI:97838
mouse_strain,C57BL
mouse_life_stage,E9.5
