parameter_name,Liver weight
parameter_id,UCD_OWT_008_001
pvalue,0.3708177
analysis_id,0xc70agarr45u13
gene_symbol,Rab17
gene_accession_id,MGI:104640
mouse_life_stage,Early adult
mouse_strain,C57BL
