parameter_name,Pericardium Morphology
mouse_strain,C57BL
pvalue,0.4161695
parameter_id,IMPC_GEL_006_001
analysis_id,n80uzvlb133iv16
mouse_life_stage,Early adult
gene_symbol,Cisd2
gene_accession_id,MGI:1914256
