gene_symbol,Dnaaf9
parameter_name,NK Subsets (Q2)
parameter_id,IMPC_IMM_055_001
pvalue,0.3471989
analysis_id,7892d6qd0c86c9z
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:1923029
