analysis_id,x8uoff377e9u503
mouse_life_stage,Early adult
parameter_name,Cholesterol ratio
pvalue,0.8166061
mouse_strain,C57BL
parameter_id,IMPC_CBC_058_001
gene_symbol,Car13
gene_accession_id,MGI:1931322
