parameter_name,Forebrain
analysis_id,e7l88157s3qn33m
pvalue,0.06197366
mouse_life_stage,Early adult
gene_accession_id,MGI:2444114
mouse_strain,C57BL
parameter_id,IMPC_GEL_028_001
gene_symbol,Zcchc2
