parameter_id,MGP_CSD_015_001
gene_accession_id,MGI:2446274
parameter_name,Head coat/hair presence
mouse_strain,C57BL
gene_symbol,Frmpd1
analysis_id,03mhrhb4n80605f
pvalue,0.6097359
mouse_life_stage,Early adult
