analysis_id,8544w006pznz2cq
mouse_strain,129SV
parameter_id,MGP_IMM_101_001
gene_symbol,Zmynd8
pvalue,0.2884603
gene_accession_id,MGI:1918025
mouse_life_stage,Early adult
parameter_name,KLRG1+ NK cells - % of CD45+
