analysis_id,7izt5084sejn598
gene_accession_id,MGI:105072
pvalue,0.5653649
parameter_id,IMPC_CSD_033_001
gene_symbol,Rab22a
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_name,Gait
