analysis_id,g9x323xim5v533a
pvalue,0.9998179
mouse_life_stage,Early adult
parameter_name,Hindpaw - size
gene_symbol,Cisd2
gene_accession_id,MGI:1914256
parameter_id,JAXLA_CSD_041_002
mouse_strain,C57BL
