parameter_name,eye size
parameter_id,ESLIM_001_001_117
gene_symbol,AU040320
gene_accession_id,MGI:2140475
pvalue,0.9211662
mouse_life_stage,Early adult
mouse_strain,C57BL
analysis_id,60rwl3r2d19h2ti
