gene_symbol,Ap5s1
mouse_life_stage,Early adult
parameter_name,Retina (combined)
analysis_id,96p617lzkpum539
gene_accession_id,MGI:1916846
mouse_strain,C57BL
parameter_id,IMPC_EYE_092_002
pvalue,0.08186248
