parameter_name,Creatinine
analysis_id,08hx8672e75tp8v
gene_symbol,Dnajc8
gene_accession_id,MGI:1915848
mouse_strain,C57BL
parameter_id,IMPC_CBC_005_001
pvalue,0.6007499
mouse_life_stage,Early adult
