analysis_id,tu58a7r3dg77ytb
pvalue,0.9776947
mouse_strain,C57BL
parameter_id,MGP_MLN_032_001
mouse_life_stage,Early adult
parameter_name,Effector NK cells - % of NK cells
gene_accession_id,MGI:95576
gene_symbol,Fpgs
