gene_symbol,Clvs1
gene_accession_id,MGI:1921688
mouse_life_stage,Early adult
mouse_strain,C57BL
analysis_id,74j84ro5i4z7ge5
parameter_name,KLRG1+ CD4- NKT cells - % of CD4- NKT cells
pvalue,0.9925868
parameter_id,MGP_IMM_028_001
