analysis_id,q85gldw1kbzru15
gene_accession_id,MGI:109356
mouse_life_stage,Late adult
mouse_strain,C57BL
parameter_id,IMPC_FEA_107_001
parameter_name,Difference in Conditioning Post-shock and Conditioning Baseline % Freezing
gene_symbol,Snap23
pvalue,0.79814
