parameter_name,Thoracic processes
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.8413695
gene_accession_id,MGI:88461
analysis_id,0v7ogzas6i4ad3w
gene_symbol,Col6a3
parameter_id,IMPC_XRY_064_001
