analysis_id,2236y0o8165734z
parameter_id,MGP_MLN_006_001
gene_accession_id,MGI:1917604
pvalue,0.6432826
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_name,Resting CD4+ T helper cells - % of CD4+ T helper cells
gene_symbol,Secisbp2l
