gene_symbol,Tiprl
gene_accession_id,MGI:1915087
analysis_id,kcisil38vi2jct1
mouse_life_stage,E12.5
pvalue,0.2961345
mouse_strain,C57BL
parameter_id,IMPC_OFD_021_001
parameter_name,Number of rears - total
