analysis_id,s96z3i07jfxjmmt
pvalue,0.1167068
gene_accession_id,MGI:1923959
mouse_strain,129SV
parameter_name,Transitional 1 B cells - % of CD45+
gene_symbol,Arpc2
mouse_life_stage,Early adult
parameter_id,MGP_IMM_110_001
