gene_symbol,Atg4c
parameter_name,Mature B cells (Hardy fraction F) - % of CD45+
gene_accession_id,MGI:2651854
pvalue,0.9670385
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,MGP_BMI_014_001
analysis_id,1rjf5ivv42499g5
