analysis_id,7c91408jm8444ar
parameter_name,Periphery - Permanence Time
pvalue,0.6849327
gene_symbol,Tiprl
mouse_strain,C57BL
parameter_id,M-G-P_007_001_008
mouse_life_stage,E12.5
gene_accession_id,MGI:1915087
