parameter_name,CV
gene_accession_id,MGI:3046938
pvalue,0.2775716
mouse_life_stage,Early adult
gene_symbol,Hrnr
parameter_id,IMPC_ECG_003_001
mouse_strain,C57BL
analysis_id,7h98175vpstql18
