analysis_id,km015dc0y31um09
mouse_strain,C57BL
gene_accession_id,MGI:87968
gene_symbol,Ahcy
parameter_name,CD4+ CD44+ CD62L- alpha beta effector T cell percentage
pvalue,0.68935
mouse_life_stage,E9.5
parameter_id,MGP_PBI_009_001
