gene_symbol,Car13
mouse_life_stage,Early adult
pvalue,0.07780464
gene_accession_id,MGI:1931322
analysis_id,o3t609d74gl878o
parameter_name,CD8 CD44+CD62L- T cells
parameter_id,IMPC_IMM_032_001
mouse_strain,C57BL
